sein	0.00907943	0.00881058	0.0104886	0.00100527	-0.0184629	-0.0248727	-0.0087292	0.00484983	-0.0053621	-0.011587
abend	0.0200686	0.00236148	-0.0262062	-0.00614786	-0.00475961	-0.00362779	-0.00107638	0.0017231	0.0157279	0.000913103
für	0.00363171	0.0284912	0.028709	0.0088342	-0.00943191	0.00219002	0.0246003	0.0117397	0.000856774	0.00436535
kurz	-0.0232871	0.00883417	0.00219967	0.01859	0.0219493	0.016138	0.00861975	-0.0100472	-0.00501186	0.0192149
jahre	-0.00917561	0.0224824	0.00303786	0.0152027	-0.00399928	-0.00811308	0.014982	0.00852124	-0.00221323	-0.0218523
30	0.0133998	-0.00529807	-0.0118705	-0.00349012	0.0100763	0.00794557	0.0178029	-0.00824797	-0.0026197	-0.00365092
beiden	0.0176896	-0.0179746	-0.0784367	-0.0115806	-0.038509	-0.00201352	-0.0497589	0.00138488	-0.00380565	0.0216976
zum	-0.00929173	0.0148727	0.0392037	0.0112977	0.00969923	-0.0168402	0.0198678	-0.0124843	-0.0231441	-0.0345489
alarmierte	-0.0250527	-0.0281301	-0.00352921	0.00930042	0.0224765	0.0628139	-0.0298336	-0.00503822	0.0302664	0.049767
auch	-0.00602264	0.00777896	0.105876	0.0220213	0.032082	0.0343517	0.0318225	0.00255243	-0.00698737	-0.0343039
hatte	0.0134108	-0.0190742	0.00740046	-0.00910992	0.0110023	0.0129585	-0.0247339	0.0228597	-0.000325149	0.026179
unbekannte	0.00984901	-0.0472472	-0.0882361	-0.00891124	-0.0272744	0.0212496	-0.0486926	0.0161387	0.0199792	0.0447674
noch	0.00496513	-0.02441	-0.0448766	-0.00562537	-0.00480906	0.0279339	-0.0192935	-0.00207279	-0.00720047	0.0186415
verletzungen	-0.0300679	0.0946047	0.143168	0.0307248	0.027151	-0.010751	0.0961133	-0.0121779	-0.0384262	-0.0598967
polizeidirektion	0.0104787	-0.00907927	-0.0475738	0.00522816	-0.0541071	-0.0324141	-0.0148933	-0.00439083	0.0136834	-0.00126114
heute	0.0097194	-0.0199823	-0.0334043	-0.00977418	-0.0196956	-0.0127104	-0.0237054	0.00570348	-0.00234632	-0.00451556
dabei	-0.0138626	0.0210864	0.081427	0.0222813	0.0183788	-0.0155343	0.0318984	-0.00383776	-0.0250429	-0.0582877
um	0.00595632	-0.015609	-0.019876	-0.0175225	-0.00497165	-0.00909941	-0.0140577	0.00577572	0.00354456	0.0111031
wegen	-0.0099977	-0.0134849	-0.00935213	-0.00117193	0.0129446	0.020072	-0.0227325	0.00180671	0.00996103	0.023083
nahmen	0.0236386	-0.0413991	-0.0809649	-0.0296677	-0.0220347	0.0106015	-0.0670393	0.034752	0.0201579	0.0255166
dann	0.0037114	0.00855034	-0.0127847	0.000972261	-0.0167423	-0.0206564	-0.0181907	0.00178099	0.00277589	0.000380385
sowie	0.000582469	0.000553352	0.0206513	-0.00108329	0.0120383	0.000499605	0.00984739	-0.0145112	-0.0170252	0.0022682
erlitt	-0.00354568	0.0310687	0.0259094	-0.0120562	-0.024709	-0.0151936	0.0282143	-0.00597472	0.00403273	-0.00928482
weiteren	0.0186068	-0.0435858	-0.0543764	0.00174443	-0.0102803	0.00921461	-0.0294821	-0.00397026	0.0116498	0.027699
übernommen	-0.00769539	-0.0265176	0.0198544	0.01597	0.0382631	0.0323242	-0.0130736	-0.00489654	0.000787352	0.00250495
bisherigen	-0.0127032	0.0231621	0.0414972	0.0100667	-0.00588577	-0.0218754	0.0187322	-0.00452518	-0.0137035	-0.0134438
schwer	-0.0102714	0.0590952	0.149148	0.0201354	0.0116482	-0.00752726	0.077348	0.00241684	-0.025638	-0.0337627
auto	-0.0308994	0.0416214	0.110873	0.0250719	0.0475581	0.030685	0.0325136	-0.00283861	-0.0426288	-0.0130947
konnte	0.00301217	0.00305216	-0.0272959	-0.00973621	-0.0121256	-0.00531169	-0.00652118	0.00277525	0.0136967	-0.0120855
feuerwehr	-0.0748289	0.00480132	0.124653	0.0106895	0.119411	0.0959494	0.0191515	-0.0145947	-0.0115858	0.000781308
berlin	0.0405502	0.0156408	-0.0195455	-0.00543212	-0.0327439	-0.0143033	0.000375975	-0.00742251	0.0124359	-0.0155687
festgenommen	0.0392648	-0.0474437	-0.106486	-0.0177971	-0.0313615	-0.00412622	-0.0659877	-0.0240617	0.0218017	0.0383601
wohnung	-0.00573469	-0.0239965	-0.0561247	-0.0151044	0.0102339	0.01775	-0.0488404	0.000969294	0.00642373	0.0330547
zufolge	0.0026713	-0.00268093	0.000824437	0.00726827	-0.00118533	-0.0142419	0.00346102	0.00685303	-0.00572209	-0.00627568
1	-0.00521751	0.000734115	0.0155251	0.00374749	0.012212	0.00966107	0.014027	0.00597091	-0.000496366	0.00431928
20	0.00447937	0.01788	-0.0262784	-0.00506842	-0.0221346	-0.017872	-0.0135484	0.0234552	-0.00536759	0.0032634
mehrere	0.0294299	-0.0360587	-0.0553532	-0.0147986	-0.0395142	-0.00609573	-0.00970621	-0.0143018	0.0116375	0.0265676
verkehrsunfall	-0.0459671	0.0937877	0.229262	0.0382692	0.0182284	-0.0427148	0.141228	-0.0135032	-0.0501247	-0.0964922
ihm	0.0210211	-0.0228572	-0.0555415	-0.0105295	-0.014307	-0.00958472	-0.0312843	0.00951079	0.0129558	0.00674239
dort	0.0049896	-0.0263753	-0.018858	-0.0148659	-0.0103276	0.00974727	-0.0387687	0.00410543	-0.00879813	0.00799735
beim	-0.0335297	0.0170332	0.0276248	-0.000498582	0.0191731	0.012488	0.00113672	-0.00805994	0.00133662	-0.00220758
personen	-0.0105599	-0.0180653	-0.0620755	0.00118402	-0.00124145	-0.0213297	-0.0222434	0.023783	0.000160893	0.013841
über	0.00744379	0.0207913	0.053663	0.00854758	0.0101705	0.00910888	0.0437846	-0.00844312	-0.0345685	-0.0384852
ist	-0.012834	0.0314329	0.0392679	0.00370427	0.00496824	0.00215	0.0318367	0.0056435	-0.0045835	-0.0371504
ihr	-0.00036878	0.0047014	-0.00690067	-0.00575907	-0.017349	0.00228576	-0.00713362	0.00546345	-0.013785	0.00740283
drei	0.017953	-0.0265434	-0.0536358	-0.0111516	0.0153935	-0.00168036	-0.0209561	-0.00566839	0.0177804	0.0156271
bis	0.00748328	-0.00308114	-0.00828786	-0.000763021	0.00516078	-0.00608336	0.00534194	-0.00895405	0.00390499	0.000689687
worden	0.00351806	-0.0035437	-0.00412225	-0.00689024	0.00982108	-0.00741357	0.00652005	0.00684229	0.0113365	0.000910428
kriminalpolizei	0.040668	-0.0441883	-0.105193	-0.0194507	-0.0397447	-0.00883952	-0.0559616	0.0309789	0.0252969	0.0249487
seinem	0.00235973	0.0562525	0.0819947	0.0192846	0.0131602	-0.0299289	0.0476834	0.000823613	-0.00443813	-0.0364261
flüchtete	0.0236913	-0.0423882	-0.107011	-0.0294486	-0.0550453	-0.0176354	-0.055616	0.0141709	0.0383555	0.0311379
wieder	0.00140681	-0.0252451	-0.0413892	-0.00488232	-0.0208677	-0.0117717	-0.0171792	-0.000102307	0.00978824	-0.000881018
nachmittag	0.00431132	-0.00158535	0.0173772	-9.62609e-06	-0.00471322	-0.0181661	0.00803949	-0.00362098	-0.010168	8.98452e-05
täter	0.0277767	-0.0339276	-0.112222	-0.0459192	-0.0420478	-0.0208711	-0.0591344	-0.00430166	0.0401628	0.0320725
unterwegs	-0.0239428	0.0786593	0.12717	0.0375866	0.0125168	-0.0271183	0.0648179	-0.00317345	-0.0360528	-0.062659
erkenntnissen	-0.0090706	0.0253372	0.023895	0.00343111	-0.0110963	-0.0191182	0.0183365	-0.00222777	-0.0219802	-0.00400295
15	0.0104456	-0.00222585	-0.0189986	0.0150113	-0.00777338	0.000227038	-0.0263898	0.00160216	-0.00140647	0.0150193
alter	-0.00857096	0.0124242	0.00811735	-0.0043173	-0.00383832	0.00348439	0.0290213	0.00625009	0.0124659	0.00430675
2	-0.00112256	0.00501378	-0.0312174	-0.00707446	0.0124	0.0181322	-0.020436	-0.00414767	-0.0327985	0.00253727
direktion	0.00230197	-0.00324008	-0.042902	-0.00976756	-0.021335	-0.0171522	-0.00466111	0.00037192	0.00966204	-0.000914626
unverletzt	0.0101871	0.00693531	0.00268427	-0.0135209	0.00482066	-0.00418387	0.0158864	-0.0036749	0.0206428	-0.0120719
nachdem	-0.00672776	-0.017222	-0.0216605	-0.00348819	0.016223	0.0144388	-0.0236766	-0.00104335	0.0107688	0.00514219
unter	-0.011075	-0.00314065	-0.0431708	-0.0162503	-0.0128412	-0.00535454	-0.00603149	8.9943e-05	0.00106007	-0.00900329
geld	0.0344155	-0.0337461	-0.0887715	-0.0322036	-0.0421349	-0.0256068	-0.0305956	0.00039425	0.00776427	0.0334752
stationären	-0.00627271	0.0370187	0.0788481	0.0135448	-0.0211303	-0.0351745	0.0357395	-0.00904136	-0.0187778	-0.0335311
blieb	-0.0107412	0.0220221	0.0450613	0.00213372	-0.00720592	-0.0133807	0.0342201	0.00819733	-0.00163862	-0.026423
klinik	-0.0235519	0.0288074	0.0588772	0.0238179	-0.00290775	0.00612815	0.0125638	0.00578525	-0.00606888	-0.0177231
messer	0.0236145	-0.0381819	-0.0953598	-0.0383257	-0.0278555	0.000655882	-0.0606481	0.0293199	0.0170652	0.0262304
während	0.0133425	0.00446512	0.00663317	0.0038446	-0.0235916	-0.0227518	-0.00323656	0.0155328	-0.00628302	-0.018882
21	0.00166654	-0.00646327	-0.0160299	0.0109547	-0.00939418	0.00634547	-0.0206097	-0.0234691	0.00770564	-0.00973393
3	0.0117715	-0.0353476	-0.047312	-0.012701	-0.00199551	-0.00174266	-0.0257316	-0.00931153	0.00885252	0.022553
weitere	-0.0195688	0.00642577	0.0107519	-0.00349902	0.0229935	0.0126558	0.00105108	0.00095735	-0.00852121	0.0020349
5	0.00999259	-0.00367359	-0.0437562	-0.00820077	-0.0212582	-0.0257791	-0.0331412	-0.00153611	0.00970121	0.0153168
daraufhin	-0.0085608	0.00455294	-0.0181807	-0.000457227	-0.00254999	0.0053584	0.00267091	-0.00338755	-0.001474	0.00159308
zunächst	-0.0103753	-0.00723718	0.0240587	0.017063	0.00407186	0.0120052	0.00798496	-0.0119413	-0.0124088	-0.000764234
dauern	0.00833072	-0.0123337	-0.0517207	0.00508715	-0.00939216	-0.00506402	-0.0219577	0.0137825	0.00939998	-0.00175517
hatten	-0.00282305	-0.00405102	-0.00900617	0.0157084	0.0274157	0.0349721	-0.0304758	-0.0203619	0.0279735	-0.00878866
fuhr	-0.0114217	0.0742967	0.121063	0.0151048	0.00316532	0.00548396	0.0652104	-0.0252662	-0.0354151	-0.0330253
–	0.00127352	-0.0141457	-0.0287535	0.0081104	0.0170463	0.000869579	0.00704242	0.00901159	0.0223499	0.000305451
musste	-0.00165445	0.0148707	0.0299312	0.00990757	-0.00204875	-0.0107121	0.0173132	-0.00853492	-0.00660212	-0.0314265
zwischen	-0.0163827	0.00655424	0.0225684	0.0103769	-0.000661845	-0.00353455	0.0112634	0.00876007	0.00195946	-0.0246804
gebracht	0.000295263	0.0105905	0.0169153	0.0120608	0.00111343	-0.0234748	0.0236118	-0.00786002	-0.00662425	-0.00586578
brachten	0.0167691	0.0112141	0.00484961	-0.00462905	-0.00849028	-0.00781522	0.00852268	0.00111497	0.00108752	-0.00769284
ersten	-0.0169581	0.0240542	0.0478666	0.00997413	0.000483829	-0.0153449	0.0224287	-0.00366454	-0.0220228	-0.0374306
behandelt	0.00359371	0.0257031	0.0109982	0.00810147	-0.00773643	-0.0205007	0.00472258	-0.00675847	-0.00837216	-0.0219415
beute	0.0140571	-0.0287169	-0.0777157	-0.0188259	-0.0344535	-0.0049727	-0.0197673	-0.0071144	0.0103958	0.0242647
so	0.0112312	-0.00799963	-0.0184429	-0.00528214	-0.00402176	-0.0294162	-0.0263586	-0.012106	0.00236367	0.00630147
alarmierten	-0.0157002	0.00863166	0.000977341	0.0193195	0.0310686	0.0306142	0.0256399	-0.0142667	0.00215423	-0.00574628
rettungskräfte	-0.00800703	0.0224496	0.0138316	-0.00812003	-0.00455693	-0.000531906	0.0127259	-0.00621328	0.0142626	-0.0153919
landeskriminalamtes	-0.0289742	-0.0359771	-0.00700891	0.0101682	0.034283	0.0388867	-0.00158062	-0.00364169	-0.00214994	0.0325647
autofahrer	-0.0439367	0.0517838	0.126469	0.00450504	0.0294499	-0.00206434	0.0617037	-0.00608799	-0.0312169	-0.0309646
jahren	0.00604147	-0.0141271	-0.0296129	-0.00676081	-0.00406295	0.0156155	-0.014354	-0.0095581	0.00261032	0.0218764
zeugen	0.00165589	-0.00573798	-0.0209511	0.00400938	-0.0144138	0.00862871	-0.00228802	-0.00112737	-0.000491647	0.00875578
